period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,FIN,28,SUI,29,4.97185133866389,0.2547023310719334,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
1,SUI,13,FIN,30,2.8836006121905777,0.17784630828883863,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
2,SUI,17,FIN,30,0.23599039224337062,0.3700305123092713,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
2,FIN,13,SUI,29,0.2732815411232366,3.6324390476221056,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
2,FIN,12,SUI,29,5.27017484029811,3.7862388521977746,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
2,FIN,22,SUI,29,0.9445035932925205,2.366017142973339,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
3,FIN,34,SUI,-1,2.7717267102357854,2.1354490746240544,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
3,FIN,15,SUI,-1,2.846307258982102,0.7153151244090981,FIN,SUI,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29975/1-fin-vs-sui,https://www.iihf.com//pdf/766/ihm766b01_77a_3_0
1,CZE,17,GER,30,2.6971461614894694,0.33164557774859604,CZE,GER,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29976/2-cze-vs-ger,https://www.iihf.com//pdf/766/ihm766a02_77a_5_1
1,GER,16,CZE,2,4.002308191376098,0.6385463255195707,CZE,GER,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29976/2-cze-vs-ger,https://www.iihf.com//pdf/766/ihm766a02_77a_5_1
2,GER,17,CZE,2,5.158302190666939,3.7862388521977746,CZE,GER,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29976/2-cze-vs-ger,https://www.iihf.com//pdf/766/ihm766a02_77a_5_1
2,CZE,25,GER,30,5.493915524354538,2.596148556738875,CZE,GER,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29976/2-cze-vs-ger,https://www.iihf.com//pdf/766/ihm766a02_77a_5_1
2,CZE,20,GER,30,5.419333910034602,2.5577646924100232,CZE,GER,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29976/2-cze-vs-ger,https://www.iihf.com//pdf/766/ihm766a02_77a_5_1
2,CZE,25,GER,30,4.636241515837104,3.095145214404892,CZE,GER,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29976/2-cze-vs-ger,https://www.iihf.com//pdf/766/ihm766a02_77a_5_1
1,LAT,6,SWE,35,3.0700484096353473,0.3698555294062249,LAT,SWE,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29977/3-lat-vs-swe,https://www.iihf.com//pdf/766/ihm766b03_77a_3_0
2,SWE,18,LAT,1,5.568497138674474,2.711302290189078,LAT,SWE,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29977/3-lat-vs-swe,https://www.iihf.com//pdf/766/ihm766b03_77a_3_0
1,USA,3,CAN,30,5.083722161783365,1.9819114768449992,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
1,USA,3,CAN,30,2.9581780821015764,0.254615107178366,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,CAN,26,USA,1,0.16140984349705428,2.097151899072858,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,CAN,15,USA,1,2.7344369557253696,0.21631793162716972,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,CAN,16,USA,1,0.6834734247898975,3.555758007742057,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,USA,18,CAN,30,2.9581780676071334,0.4850081926246044,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,USA,12,CAN,30,3.0327596819270695,0.6003363738619423,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,USA,27,CAN,30,4.002308191376098,0.8306427705305248,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
2,USA,3,CAN,30,1.876763375033271,0.2929989715072181,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
3,USA,10,CAN,30,0.31057094098968696,1.8284616380754235,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
3,USA,3,CAN,30,5.34475356253273,2.020295341173852,CAN,USA,https://www.iihf.com//en/events/2022/wm18/gamecenter/playbyplay/29978/4-can-vs-usa,https://www.iihf.com//pdf/766/ihm766a04_77a_3_0
