jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
28.0,FEDOTOV Ivan,GK,0,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
31.0,SAMONOV Alexander,GK,0,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
57.0,NIKISHIN Alexander,D,1,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
89.0,NESTEROV Nikita,D,1,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
97.0,GUSEV Nikita,F,1,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
87.0,SHIPACHYOV Vadim,F,1,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
25.0,GRIGORENKO Mikhail,F,1,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
44.0,YAKOVLEV Yegor,D,2,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
4.0,YELESIN Alexander,D,2,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
22.0,GALIEV Stanislav,F,2,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
94.0,SEMYONOV Kirill,F,2,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
81.0,GRITSYUK Arseni,F,2,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
7.0,TELEGIN Sergei,D,3,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
27.0,VOINOV Vyacheslav,D,3,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
58.0,SLEPYSHEV Anton,F,3,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
15.0,KARNAUKHOV Pavel,F,3,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
10.0,VORONKOV Dmitri,F,3,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
43.0,SHARIPZYANOV Damir,D,4,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
24.0,KAYUMOV Artur,F,4,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
55.0,TKACHYOV Vladimir,F,4,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
11.0,ANDRONOV Sergei,F,4,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
76.0,CHIBISOV Andrei,F,4,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
,ZHAMNOV Alexei,He. Co.,5,ROC,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
20.0,BERRA Reto,GK,0,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
63.0,GENONI Leonardo,GK,0,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
25.0,MULLER Mirco,D,1,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
16.0,DIAZ Raphael,D,1,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
15.0,HOFMANN Gregory,F,1,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
71.0,CORVI Enzo,F,1,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
10.0,AMBUHL Andres,F,1,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
2.0,ALATALO Santeri,D,2,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
65.0,UNTERSANDER Ramon,D,2,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
70.0,HOLLENSTEIN Denis,F,2,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
92.0,HAAS Gaetan,F,2,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
85.0,ANDRIGHETTO Sven,F,2,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
55.0,LOEFFEL Romain,D,3,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
6.0,WEBER Yannick,D,3,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
61.0,HERZOG Fabrice,F,3,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
88.0,BERTSCHY Christoph,F,3,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
83.0,VERMIN Joel,F,3,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
38.0,FRICK Lukas,D,4,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
45.0,FORA Michael,D,4,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
82.0,MOSER Simon,F,4,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
79.0,THURKAUF Calvin,F,4,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
87.0,MOTTET Killian,F,4,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
,FISCHER Patrick,He. Co.,5,SUI,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28593/1-roc-vs-sui,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28593/1-roc-vs-sui
11.0,HRUBEC Simon,GK,0,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
32.0,BARTOSAK Patrik,GK,0,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
88.0,SULAK Libor,D,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
84.0,KUNDRATEK Tomas,D,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
45.0,SEDLAK Lukas,F,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
46.0,KREJCI David,F,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
38.0,HYKA Tomas,F,1,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
9.0,SKLENICKA David,D,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
5.0,JERABEK Jakub,D,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
10.0,CERVENKA Roman,F,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
43.0,KOVAR Jan,F,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
44.0,STRANSKY Matej,F,2,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
31.0,KLOK Lukas,D,3,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
3.0,KNOT Ronald,D,3,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
25.0,LENC Radan,F,3,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
17.0,SOBOTKA Vladimir,F,3,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
26.0,REPIK Michal,F,3,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
65.0,MOZIK Vojtech,D,4,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
13.0,SMEJKAL Jiri,F,4,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
20.0,ZOHORNA Hynek,F,4,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
79.0,ZOHORNA Tomas,F,4,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
67.0,FROLIK Michael,F,4,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
,PESAN Filip,He. Co.,5,CZE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
32.0,DAHM Sebastian,GK,0,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
1.0,DICHOW Frederik,GK,0,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
25.0,LAURIDSEN Oliver,D,1,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
41.0,JENSEN AABO Jesper,D,1,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
89.0,BOEDKER Mikkel,F,1,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
51.0,NIELSEN Frans,F,1,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
17.0,JENSEN Nicklas,F,1,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
22.0,LAURIDSEN Markus,D,2,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
15.0,LASSEN Matias,D,2,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
9.0,STORM Frederik,F,2,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
93.0,REGIN Peter,F,2,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
63.0,RUSSELL Patrick,F,2,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
48.0,JENSEN Nicholas B.,D,3,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
47.0,LARSEN Oliver,D,3,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
50.0,BAU Mathias,F,3,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
29.0,MADSEN Morten,F,3,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
72.0,MEYER Nicolai,F,3,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
28.0,KRISTENSEN Emil,D,4,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
40.0,JENSEN Jesper,F,4,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
38.0,POULSEN Morten,F,4,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
33.0,JAKOBSEN Julian,F,4,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
42.0,AAGAARD Mikkel,F,4,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
,EHLERS Heinz,He. Co.,5,DEN,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28594/2-cze-vs-den,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28594/2-cze-vs-den
31.0,JOHANSSON Lars,GK,0,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
35.0,HELLBERG Magnus,GK,0,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
5.0,FANTENBERG Oscar,D,1,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
32.0,BENGTSSON Lukas,D,1,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
86.0,BROME Mathias,F,1,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
58.0,LANDER Anton,F,1,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
48.0,KLINGBERG Carl,F,1,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
52.0,HOLM Philip,D,2,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
2.0,FOLIN Christian,D,2,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
29.0,HOLMBERG Pontus,F,2,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
23.0,WALLMARK Lucas,F,2,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
8.0,OLOFSSON Fredrik,F,2,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
7.0,TOMMERNES Henrik,D,3,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
64.0,PUDAS Jonathan,D,3,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
18.0,EVERBERG Dennis,F,3,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
95.0,de la ROSE Jacob,F,3,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
15.0,RYDAHL Gustav,F,3,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
33.0,HULTSTROM Linus,D,4,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
59.0,JOHANSSON Linus,F,4,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
42.0,NORDSTROM Joakim,F,4,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
16.0,KRUGER Marcus,F,4,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
12.0,FRIBERG Max,F,4,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
,GARPENLOV Johan,He. Co.,5,SWE,True,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
74.0,PUNNENOVS Ivars,GK,0,LAT,False,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/lineup/28595/3-swe-vs-lat,https://www.iihf.com//en/events/2022/olympic-m/gamecenter/playbyplay/28595/3-swe-vs-lat
