jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
3,PLANKENAUEROVA Emma,SVK,True,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
5,KRAKOROVA Hana,SVK,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
7,JANEKOVA Nikola,SVK,True,D,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
17,DOBIASOVA Zuzana,SVK,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
24,HUDAKOVA Nina,SVK,True,F,0,0,0,0,4,-2.0,0:00,0.0,0:00,3,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
6,MATEICKOVA Alexandra,SVK,True,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
12,HALUSKOVA Sandra,SVK,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
15,KAPICAKOVA Barbora,SVK,True,F,0,0,0,2,2,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
19,BLICHOVA Tatiana,SVK,True,F,0,0,0,0,3,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
21,FANCOVICOVA Hana,SVK,True,F,0,0,0,2,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
8,NILABOVICOVA Sarah,SVK,True,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
13,DONOVALOVA Emma,SVK,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
16,TOTHOVA Ema,SVK,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
18,STERN Lily,SVK,True,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
22,TOMASTIKOVA Liana,SVK,True,F,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
2,MACKOVA Klara,SVK,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
4,NEMCEKOVA Maria,SVK,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
10,TARICSOVA Kristina,SVK,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
11,JANCSOOVA Laura,SVK,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
23,STRBAKOVA Nina,SVK,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
1,DEBNAROVA Livia,SVK,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
25,MEDVIDOVA Laura,SVK,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
3,HOTOVA Eliska,CZE,False,D,1,0,1,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
8,PAVLASOVA Anna Jirina,CZE,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
19,BARTAKOVA Barbora,CZE,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
20,GRUNTOVA Lucie,CZE,False,F,0,1,1,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
21,JURICKOVA Barbora,CZE,False,F,0,1,1,0,6,0.0,0:00,0.0,0:00,3,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
10,SAPOVALIVOVA Adela,CZE,False,F,2,1,3,0,6,3.0,0:00,0.0,0:00,2,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
14,MASKOVA Tereza,CZE,False,D,0,0,0,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
15,TRNKOVA Andrea,CZE,False,D,1,2,3,0,3,3.0,0:00,0.0,0:00,2,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
17,PISTEKOVA Tereza,CZE,False,F,0,0,0,0,0,3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
22,PLOSOVA Tereza,CZE,False,F,0,2,2,0,2,3.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
2,MALICKA Dominika,CZE,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
5,BRICHOVA Natalie,CZE,False,F,0,0,0,0,3,0.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
6,VANICKOVA Anna,CZE,False,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
18,MAZANCOVA Marketa,CZE,False,F,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
23,HRACOVA Anezka,CZE,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
4,MATEJOVA Petra,CZE,False,F,0,0,0,0,4,0.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
9,VEVERKOVA Karolina,CZE,False,F,0,0,0,2,3,0.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
11,SLAVICKOVA Klaudie,CZE,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
13,DUBOVA Adriana,CZE,False,F,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
27,NAROVCOVA Beata,CZE,False,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
29,HESOVA Michaela,CZE,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
30,DALECKA Barbora,CZE,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
8,DISHER Brooke,CAN,True,D,0,0,0,0,4,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
14,PAIS Emmalee,CAN,True,F,0,0,0,2,3,0.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
22,AMOS Jocelyn,CAN,True,F,0,0,0,0,3,0.0,0:00,0.0,0:00,0,0:00,1,0:00,2,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
24,CHANTLER Madison,CAN,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
28,GROBER Piper,CAN,True,D,0,0,0,2,2,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
4,SWIDERSKI Sara,CAN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
7,MACEACHERN Sarah,CAN,True,D,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
16,LAW Alex,CAN,True,F,0,0,0,2,3,0.0,0:00,0.0,0:00,0,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
21,BAXTER Jordan,CAN,True,F,0,0,0,0,5,0.0,0:00,0.0,0:00,1,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
26,PREFONTAINE Karel,CAN,True,F,0,0,0,0,4,0.0,0:00,0.0,0:00,2,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
6,HENDERSON Tova,CAN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
9,van GELDER Mckenna,CAN,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
15,MURPHY Ava,CAN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
17,ADAM Avahla,CAN,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
19,KIRCHMAIR Reichen,CAN,True,F,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
5,HICKS Rhea,CAN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
23,AUBIN Alexia,CAN,True,F,0,0,0,4,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
25,REGALADO Alyssa,CAN,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
27,ABELA Holly,CAN,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
1,MACLEOD Hailey,CAN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
29,PIETERSEN Mari,CAN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
6,YRJOLA Siiri,FIN,False,D,0,1,1,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
12,ERONEN Ada,FIN,False,D,1,0,1,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
18,KERANEN Tilli,FIN,False,F,0,0,0,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
23,VANHANEN Sanni,FIN,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
28,SALONEN Pauliina,FIN,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
3,MAKKONEN Adalmiina,FIN,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
8,TALLINEN Tuuli,FIN,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
10,ANTTI-ROIKO Anna-Kaisa,FIN,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
15,HAVANA Oona,FIN,False,F,1,0,1,0,2,0.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
22,SCHALIN Julia,FIN,False,F,0,1,1,4,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
5,BERG Nella,FIN,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
7,VARJONEN Sinna,FIN,False,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
16,KUOPPALA Jenniina,FIN,False,F,0,1,1,0,1,1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
19,KOKORA Heidi,FIN,False,F,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
27,VIHERVUORI Satu-Maaria,FIN,False,F,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
9,MUSTONEN Raili,FIN,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
14,LEHMUS Kerttu,FIN,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
20,KARI Sofia,FIN,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
21,PELKONEN Neea,FIN,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
26,VIRTANEN Peppi,FIN,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
30,KYRKKO Emilia,FIN,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
31,TARKIAINEN Hannele,FIN,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
4,MARTI Alina,SUI,True,F,0,0,0,0,8,-1.0,0:00,0.0,0:00,2,0:00,4,0:00,2,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30716/3-sui-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30716/3-sui-vs-ger
14,HARJU Nina,SUI,True,D,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30716/3-sui-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30716/3-sui-vs-ger
